Time,Value
72.9,58.90004933
73,58.91263783
73.1,58.92487764
73.2,58.93321931
73.3,58.94497633
73.4,58.95794034
73.5,58.96740854
73.6,58.97437334
73.7,58.98216963
73.8,58.98889303
73.9,58.99778903
74,59.00546908
74.1,59.00942981
74.2,59.01271105
74.3,59.0162158
74.4,59.02130306
74.5,59.02668536
74.6,59.0285629
74.7,59.02843773
74.8,59.02938545
74.9,59.03054774
75,59.03190672
75.1,59.03180838
75.2,59.02870595
75.3,59.02513862
75.4,59.02451277
75.5,59.0230912
75.6,59.01982784
75.7,59.01310444
75.8,59.0044409
75.9,58.99928212
76,58.99530351
76.1,58.99130702
76.2,58.98073912
76.3,58.97226334
76.4,58.96248221
76.5,58.9538008
76.6,58.94526243
76.7,58.93626809
76.8,58.92510116
76.9,58.91219974
77,58.89986157
77.1,58.88713002
77.2,58.87351334
77.3,58.85578394
77.4,58.84180963
77.5,58.82720947
77.6,58.81201923
77.7,58.79541636
77.8,58.77681971
77.9,58.75801742
78,58.73942077
78.1,58.72013569
78.2,58.7010473
78.3,58.67776573
78.4,58.65446627
78.5,58.63262415
78.6,58.61286521
78.7,58.58964622
78.8,58.56454074
78.9,58.53991807
79,58.51387382
79.1,58.48942101
79.2,58.46566558
79.3,58.43727887
79.4,58.40848088
79.5,58.37940574
79.6,58.35048258
79.7,58.32430422
79.8,58.2937181
79.9,58.26401711
80,58.2296133
80.1,58.20020735
80.2,58.1693083
80.3,58.13778341
80.4,58.10116231
80.5,58.06564093
80.6,58.03220272
80.7,57.99731612
80.8,57.96327889
80.9,57.9243958
81,57.88621008
81.1,57.84661174
81.2,57.8107506
81.3,57.77282417
81.4,57.73307383
81.5,57.69215226
81.6,57.64964819
81.7,57.60880709
81.8,57.56804645
81.9,57.52597153
82,57.4804455
82.1,57.43533075
82.2,57.39364028
82.3,57.34989345
82.4,57.30457306
82.5,57.25750029
82.6,57.20947087
82.7,57.16156662
82.8,57.11489618
82.9,57.06574023
83,57.0145905
83.1,56.96358383
83.2,56.91226423
83.3,56.86253607
83.4,56.81274533
83.5,56.76022768
83.6,56.70670867
83.7,56.65258169
83.8,56.60044849
83.9,56.54593706
84,56.49035275
84.1,56.43367767
84.2,56.37562573
84.3,56.32163286
84.4,56.26479685
84.5,56.2061727
84.6,56.14581406
84.7,56.08532131
84.8,56.02447093
84.9,55.96449673
85,55.90572953
85.1,55.84225953
85.2,55.78056872
85.3,55.71417511
85.4,55.65260053
85.5,55.59109747
85.6,55.52468598
85.7,55.45941889
85.8,55.39296269
85.9,55.328089
86,55.26361763
86.1,55.19587398
86.2,55.12524247
86.3,55.05584478
86.4,54.98679578
86.5,54.9169153
86.6,54.84784842
86.7,54.77503538
86.8,54.70442176
86.9,54.63183224
87,54.56086099
87.1,54.48718071
87.2,54.41209674
87.3,54.33654785
87.4,54.26104367
87.5,54.18694317
87.6,54.1129142
87.7,54.03525531
87.8,53.95551324
87.9,53.87691557
88,53.79985571
88.1,53.72156203
88.2,53.64198089
88.3,53.5610944
88.4,53.4791261
88.5,53.39864194
88.6,53.31810415
88.7,53.23697627
88.8,53.1511724
88.9,53.06711197
89,52.98378468
89.1,52.90119946
